id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,username
230,0.42,0.47,2,159,3,0,1,0,marketing,low,U00230
231,0.92,0.99,5,255,6,0,1,0,sales,low,U00231
232,0.11,0.83,6,244,4,0,1,0,accounting,low,U00232
233,0.42,0.56,2,134,3,0,1,0,support,low,U00233
234,0.48,0.57,4,270,4,0,1,0,technical,low,U00234
235,0.83,0.85,4,255,5,0,1,0,management,low,U00235
236,0.4,0.53,2,151,3,0,1,0,marketing,low,U00236
237,0.43,0.45,2,135,3,0,1,0,marketing,low,U00237
238,0.43,0.53,2,146,3,0,1,0,marketing,low,U00238
239,0.1,0.97,7,254,4,0,1,0,sales,low,U00239
240,0.1,0.87,7,289,4,0,1,0,sales,low,U00240
241,0.37,0.46,2,156,3,0,1,0,sales,low,U00241
242,0.38,0.53,2,156,3,0,1,0,sales,low,U00242
243,0.4,0.5,2,128,3,0,1,0,sales,low,U00243
244,0.89,0.86,5,275,5,0,1,0,sales,low,U00244
245,0.45,0.46,2,155,3,0,1,0,sales,low,U00245
246,0.37,0.48,2,159,3,0,1,0,sales,low,U00246
247,0.46,0.49,2,148,3,0,1,0,sales,low,U00247
248,0.87,0.91,4,228,5,0,1,0,sales,low,U00248
249,0.11,0.84,6,298,4,0,1,0,sales,low,U00249
250,0.79,0.87,5,261,5,0,1,0,sales,low,U00250
251,0.79,0.92,5,254,6,0,1,0,sales,low,U00251
252,0.19,0.59,7,192,3,0,1,0,sales,low,U00252
253,0.87,0.98,4,248,5,0,1,0,sales,low,U00253
254,0.6,0.92,2,258,5,0,1,0,sales,low,U00254
255,0.44,0.45,2,156,3,0,1,0,sales,medium,U00255
256,0.11,0.81,6,266,4,1,1,0,sales,medium,U00256
257,0.42,0.54,2,156,3,0,1,0,sales,medium,U00257
258,0.88,0.88,5,232,5,1,1,0,accounting,medium,U00258
259,0.11,0.84,6,287,4,0,1,0,accounting,medium,U00259
260,0.46,0.46,2,154,3,0,1,0,accounting,medium,U00260
261,0.82,0.97,5,263,5,0,1,0,hr,medium,U00261
262,0.44,0.56,2,131,3,0,1,0,hr,medium,U00262
263,0.11,0.78,6,260,4,0,1,0,hr,medium,U00263
264,0.42,0.5,2,139,3,0,1,0,hr,medium,U00264
265,0.84,0.93,4,251,5,0,1,0,technical,medium,U00265
266,0.11,0.95,6,286,4,0,1,0,technical,medium,U00266
267,0.45,0.53,2,129,3,0,1,0,technical,high,U00267
268,0.38,0.56,2,156,3,0,1,0,technical,low,U00268
269,0.38,0.86,6,139,6,0,1,0,technical,medium,U00269
270,0.44,0.51,2,127,3,0,1,0,technical,medium,U00270
271,0.11,0.84,6,251,4,0,1,0,technical,medium,U00271
272,0.81,0.93,5,270,5,0,1,0,technical,medium,U00272
273,0.09,0.96,6,296,4,0,1,0,technical,low,U00273
274,0.11,0.9,6,254,4,0,1,0,technical,low,U00274
275,0.81,0.95,5,238,6,0,1,0,technical,low,U00275
276,0.1,0.97,6,267,4,1,1,0,support,low,U00276
277,0.74,0.89,5,229,6,0,1,0,support,low,U00277
278,0.09,0.78,6,254,4,0,1,0,support,low,U00278
279,0.82,0.81,4,233,4,1,1,0,support,low,U00279
280,0.1,0.98,6,268,4,0,1,0,support,low,U00280
281,0.27,0.56,3,301,3,0,1,0,support,low,U00281
282,0.83,0.92,5,267,6,0,1,0,support,low,U00282
283,0.1,0.93,6,289,4,1,1,0,support,low,U00283
284,0.38,0.47,2,144,3,0,1,0,support,low,U00284
285,0.4,0.56,2,148,3,0,1,0,support,low,U00285
286,0.11,0.83,6,306,4,0,1,0,support,low,U00286
287,0.11,0.79,6,292,4,0,1,1,technical,low,U00287
288,0.82,0.91,5,232,5,0,1,0,technical,low,U00288
289,0.36,0.48,2,137,3,0,1,0,technical,low,U00289
290,0.4,0.46,2,128,3,0,1,0,management,low,U00290
291,0.87,0.84,5,231,5,0,1,0,IT,low,U00291
292,0.41,0.49,2,146,3,0,1,0,IT,low,U00292
293,0.11,0.91,6,308,4,1,1,0,IT,low,U00293
294,0.1,0.93,6,253,4,0,1,0,IT,medium,U00294
295,0.38,0.51,2,146,3,0,1,0,IT,medium,U00295
296,0.39,0.55,2,156,3,0,1,0,product_mng,medium,U00296
297,0.4,0.52,2,147,3,0,1,0,product_mng,medium,U00297
298,0.45,0.48,2,136,3,0,1,0,product_mng,medium,U00298
299,0.74,0.84,5,249,5,0,1,0,product_mng,medium,U00299
300,0.45,0.55,2,151,3,0,1,0,IT,medium,U00300
301,0.12,1,3,278,4,0,1,0,RandD,medium,U00301
302,0.1,0.77,7,250,5,0,1,0,RandD,medium,U00302
303,0.37,0.55,2,127,3,0,1,0,RandD,medium,U00303
304,0.89,0.87,5,255,5,0,1,0,RandD,medium,U00304
305,0.45,0.47,2,135,3,0,1,0,RandD,medium,U00305
306,0.37,0.46,2,149,3,0,1,0,marketing,high,U00306
307,0.11,0.81,5,287,4,0,1,0,sales,low,U00307
308,0.41,0.48,2,145,3,0,1,0,accounting,medium,U00308
309,0.1,0.94,6,285,4,0,1,0,support,medium,U00309
310,0.1,0.93,7,305,4,0,1,0,technical,medium,U00310
311,0.11,0.95,7,300,4,0,1,0,management,medium,U00311
312,0.4,0.54,2,139,3,0,1,0,marketing,low,U00312
313,0.41,0.49,2,130,3,0,1,0,marketing,low,U00313
314,0.1,0.81,6,268,4,0,1,0,marketing,low,U00314
315,0.73,0.86,4,245,6,0,1,0,sales,low,U00315
316,0.43,0.47,2,135,3,0,1,0,sales,low,U00316
317,0.37,0.46,2,153,3,0,1,0,sales,low,U00317
318,0.11,0.94,6,276,4,0,1,0,sales,low,U00318
319,0.4,0.46,2,130,3,0,1,0,sales,low,U00319
320,0.41,0.54,2,153,3,1,1,0,sales,low,U00320
321,0.82,0.84,5,244,5,0,1,0,sales,low,U00321
322,0.61,0.47,2,253,3,0,1,0,sales,low,U00322
323,0.11,0.91,7,287,4,0,1,0,sales,low,U00323
324,0.37,0.45,2,131,3,0,1,0,sales,low,U00324
325,0.41,0.52,2,135,3,0,1,0,sales,low,U00325
326,0.37,0.52,2,157,3,0,1,0,sales,low,U00326
327,0.88,0.99,5,262,6,0,1,0,sales,low,U00327
328,0.1,0.85,6,266,4,0,1,0,sales,low,U00328
329,0.44,0.48,2,148,3,0,1,0,sales,low,U00329
330,0.38,0.57,2,140,3,0,1,0,sales,low,U00330
331,0.11,0.85,7,302,4,0,1,0,sales,low,U00331
332,0.09,0.98,6,271,4,0,1,0,sales,low,U00332
333,0.45,0.52,2,145,3,0,1,0,sales,medium,U00333
334,0.1,0.81,6,290,4,0,1,0,accounting,medium,U00334
335,0.45,0.47,2,151,3,0,1,0,accounting,medium,U00335
336,0.77,0.87,5,266,5,0,1,0,accounting,medium,U00336
337,0.44,0.51,2,140,3,0,1,0,hr,medium,U00337
338,0.39,0.5,2,142,3,0,1,0,hr,medium,U00338
339,0.1,0.91,6,246,4,0,1,0,hr,medium,U00339
340,0.09,0.89,7,308,5,0,1,0,hr,medium,U00340
341,0.37,0.47,2,141,3,0,1,0,technical,medium,U00341
342,0.9,1,5,232,5,0,1,0,technical,medium,U00342
343,0.41,0.56,2,143,3,0,1,0,technical,medium,U00343
344,0.37,0.52,2,155,3,0,1,0,technical,medium,U00344
345,0.1,0.86,6,278,4,0,1,0,technical,high,U00345
346,0.81,1,4,253,5,0,1,0,technical,low,U00346
347,0.11,0.8,6,282,4,0,1,0,technical,medium,U00347
348,0.11,0.84,7,264,4,0,1,0,technical,medium,U00348
349,0.4,0.46,2,149,3,0,1,0,technical,medium,U00349
350,0.09,0.8,6,304,5,0,1,0,technical,medium,U00350
351,0.48,0.93,3,219,6,0,1,0,technical,low,U00351
352,0.91,0.91,4,262,6,0,1,0,support,low,U00352
353,0.43,0.57,2,135,3,0,1,0,support,low,U00353
354,0.33,0.88,6,219,5,0,1,0,support,low,U00354
355,0.41,0.57,2,136,3,0,1,0,support,low,U00355
356,0.41,0.55,2,154,3,0,1,0,support,low,U00356
357,0.37,0.54,2,149,3,0,1,0,support,low,U00357
358,0.31,0.62,6,135,5,0,1,0,support,low,U00358
359,0.09,0.91,6,275,4,0,1,0,support,low,U00359
360,0.1,0.87,6,290,4,0,1,0,support,low,U00360
361,0.76,0.9,4,263,5,0,1,0,support,low,U00361
362,0.41,0.54,2,145,3,0,1,0,support,low,U00362
363,0.72,0.96,5,267,5,0,1,0,technical,low,U00363
364,0.4,0.5,2,141,3,1,1,0,technical,low,U00364
365,0.91,0.87,4,235,5,0,1,0,technical,low,U00365
366,0.1,0.83,6,258,4,0,1,0,management,low,U00366
367,0.4,0.56,2,131,3,0,1,0,IT,low,U00367
368,0.82,0.86,5,243,5,0,1,0,IT,low,U00368
369,0.1,0.82,6,266,4,0,1,0,IT,low,U00369
370,0.37,0.45,2,142,3,0,1,0,IT,low,U00370
371,0.36,0.51,2,135,3,0,1,0,IT,low,U00371
372,0.39,0.48,2,141,3,0,1,0,product_mng,medium,U00372
373,0.36,0.57,2,142,3,0,1,0,product_mng,medium,U00373
374,0.86,0.84,5,254,5,0,1,0,product_mng,medium,U00374
375,0.73,0.99,5,262,5,0,1,0,product_mng,medium,U00375
376,0.56,0.71,4,296,2,0,1,0,IT,medium,U00376
377,0.44,0.56,2,158,3,0,1,0,accounting,medium,U00377
378,0.31,0.56,4,238,2,0,1,0,accounting,medium,U00378
379,0.77,0.93,4,231,5,0,1,0,hr,medium,U00379
380,0.44,0.45,2,156,3,0,1,0,hr,medium,U00380
381,0.38,0.46,2,145,3,0,1,0,hr,medium,U00381
382,0.45,0.48,2,144,3,0,1,0,marketing,medium,U00382
383,0.38,0.51,2,159,3,0,1,0,sales,medium,U00383
384,0.36,0.48,2,156,3,0,1,0,accounting,high,U00384
385,0.75,0.9,5,256,5,0,1,0,support,low,U00385
386,0.1,0.93,6,298,4,0,1,0,technical,medium,U00386
387,0.1,0.97,6,247,4,0,1,0,management,medium,U00387
388,0.45,0.5,2,157,3,0,1,0,marketing,medium,U00388
389,0.42,0.57,2,154,3,1,1,0,marketing,medium,U00389
390,0.78,1,4,253,5,0,1,0,marketing,low,U00390
391,0.45,0.55,2,148,3,0,1,0,sales,low,U00391
392,0.84,1,4,261,5,0,1,0,sales,low,U00392
393,0.11,0.93,6,282,4,0,1,0,sales,low,U00393
394,0.42,0.56,2,133,3,0,1,0,sales,low,U00394
395,0.45,0.46,2,128,3,0,1,0,sales,low,U00395
396,0.46,0.57,2,139,3,0,1,0,sales,low,U00396
397,0.09,0.79,6,293,5,0,1,0,sales,low,U00397
398,0.87,0.83,4,265,6,0,1,0,sales,low,U00398
399,0.1,0.87,6,250,4,0,1,0,sales,low,U00399
400,0.91,1,5,251,6,0,1,0,sales,low,U00400
401,0.76,0.92,4,246,5,0,1,0,sales,low,U00401
402,0.74,1,5,275,5,0,1,0,sales,low,U00402
403,0.92,0.93,5,240,5,0,1,0,sales,low,U00403
404,0.76,0.87,5,245,5,0,1,0,sales,low,U00404
405,0.47,0.5,4,254,4,0,1,0,sales,low,U00405
406,0.73,0.99,5,241,5,0,1,0,sales,low,U00406
407,0.09,0.94,6,257,4,0,1,0,sales,low,U00407
408,0.91,0.92,4,246,5,0,1,0,sales,low,U00408
409,0.82,0.98,4,233,5,0,1,0,sales,low,U00409
410,0.28,0.45,6,218,4,0,1,0,accounting,low,U00410
411,0.84,0.99,4,262,6,0,1,0,accounting,medium,U00411
412,0.45,0.53,2,138,3,0,1,0,accounting,medium,U00412
413,0.45,0.54,2,142,3,0,1,0,hr,medium,U00413
414,0.91,0.97,5,233,5,0,1,0,hr,medium,U00414
415,0.42,0.48,2,155,3,0,1,0,hr,medium,U00415
416,0.82,1,4,229,6,0,1,0,hr,medium,U00416
417,0.11,0.9,6,264,4,0,1,0,technical,medium,U00417
418,0.42,0.53,3,199,4,0,1,0,technical,medium,U00418
419,0.82,0.85,4,223,5,0,1,0,technical,medium,U00419
420,0.09,0.96,6,268,4,0,1,0,technical,medium,U00420
421,0.1,0.94,6,287,4,0,1,0,technical,medium,U00421
422,0.86,1,5,257,5,0,1,0,technical,medium,U00422
423,0.4,0.46,2,143,3,0,1,0,technical,high,U00423
424,0.45,0.46,2,130,3,0,1,0,technical,low,U00424
425,0.42,0.51,2,136,3,0,1,0,technical,medium,U00425
426,0.74,0.92,4,261,5,0,1,0,technical,medium,U00426
427,0.55,0.6,3,180,4,0,1,0,technical,medium,U00427
428,0.37,0.45,2,126,3,0,1,0,support,medium,U00428
429,0.41,0.52,2,127,3,1,1,0,support,low,U00429
430,0.89,0.65,5,195,6,0,1,0,support,low,U00430
431,0.41,0.57,2,160,3,0,1,0,support,low,U00431
432,0.44,0.51,2,150,3,0,1,0,support,low,U00432
433,0.87,0.84,4,264,6,0,1,0,support,low,U00433
434,0.1,0.84,6,309,4,0,1,0,support,low,U00434
435,0.41,0.47,2,135,3,0,1,0,support,low,U00435
436,0.11,0.85,6,261,4,0,1,0,support,low,U00436
437,0.43,0.53,2,160,3,0,1,0,support,low,U00437
438,0.77,0.9,4,237,5,0,1,0,support,low,U00438
439,0.41,0.52,2,136,3,0,1,0,technical,low,U00439
440,0.41,0.48,2,139,3,0,1,0,technical,low,U00440
441,0.36,0.78,2,151,4,0,1,0,technical,low,U00441
442,0.77,1,5,229,5,0,1,0,management,low,U00442
443,0.81,0.98,5,245,5,0,1,0,IT,low,U00443
